"lga_pid","lga_visible","short_name","name"
"QLD41","QLD41 - Cook Shire","Cook","Cook Shire"
"QLD40","QLD40 - Cloncurry Shire","Cloncurry","Cloncurry Shire"
"QLD35","QLD35 - Carpentaria Shire","Carpentaria","Carpentaria Shire"
"QLD311","QLD311 - Cherbourg Aboriginal Shire","Cherbourg","Cherbourg Aboriginal Shire"
"QLD310","QLD310 - Hope Vale Aboriginal Shire","Hope Vale","Hope Vale Aboriginal Shire"
"QLD315","QLD315 - Yarrabah Aboriginal Shire","Yarrabah","Yarrabah Aboriginal Shire"
"QLD313","QLD313 - Maranoa Regional","Maranoa","Maranoa Regional"
"QLD312","QLD312 - Western Downs Regional","Western Downs","Western Downs Regional"
"QLD319","QLD319 - Noosa Shire","Noosa","Noosa Shire"
"QLD318","QLD318 - Mareeba Shire","Mareeba","Mareeba Shire"
"QLD317","QLD317 - Livingstone Shire","Livingstone","Livingstone Shire"
"QLD316","QLD316 - Douglas Shire","Douglas","Douglas Shire"
"QLD23","QLD23 - Bulloo Shire","Bulloo","Bulloo Shire"
"QLD21","QLD21 - Brisbane City","Brisbane","Brisbane City"
"QLD27","QLD27 - Burke Shire","Burke","Burke Shire"
"QLD26","QLD26 - Burdekin Shire","Burdekin","Burdekin Shire"
"QLD300","QLD300 - Woorabinda Aboriginal Shire","Woorabinda","Woorabinda Aboriginal Shire"
"QLD304","QLD304 - Mapoon Aboriginal Shire","Mapoon","Mapoon Aboriginal Shire"
"QLD303","QLD303 - Napranum Aboriginal Shire","Napranum","Napranum Aboriginal Shire"
"QLD302","QLD302 - Lockhart River Aboriginal Shire","Lockhart River","Lockhart River Aboriginal Shire"
"QLD3","QLD3 - Aurukun Shire","Aurukun","Aurukun Shire"
"QLD301","QLD301 - Doomadgee Aboriginal Shire","Doomadgee","Doomadgee Aboriginal Shire"
"QLD308","QLD308 - Kowanyama Aboriginal Shire","Kowanyama","Kowanyama Aboriginal Shire"
"QLD307","QLD307 - Wujal Wujal Aboriginal Shire","Wujal Wujal","Wujal Wujal Aboriginal Shire"
"QLD306","QLD306 - Palm Island Aboriginal Shire","Palm Island","Palm Island Aboriginal Shire"
"QLD7","QLD7 - Banana Shire","Banana","Banana Shire"
"QLD5","QLD5 - Balonne Shire","Balonne","Balonne Shire"
"QLD309","QLD309 - Pormpuraaw Aboriginal Shire","Pormpuraaw","Pormpuraaw Aboriginal Shire"
"QLD9","QLD9 - Barcoo Shire","Barcoo","Barcoo Shire"
"QLD19","QLD19 - Boulia Shire","Boulia","Boulia Shire"
"QLD299","QLD299 - Whitsunday Regional","Whitsunday","Whitsunday Regional"
"QLD298","QLD298 - Torres Strait Island Regional","Torres Strait Island","Torres Strait Island Regional"
"QLD297","QLD297 - Toowoomba Regional","Toowoomba","Toowoomba Regional"
"QLD292","QLD292 - Somerset Regional","Somerset","Somerset Regional"
"QLD291","QLD291 - Scenic Rim Regional","Scenic Rim","Scenic Rim Regional"
"QLD296","QLD296 - Tablelands Regional","Tablelands","Tablelands Regional"
"QLD295","QLD295 - Sunshine Coast Regional","Sunshine Coast","Sunshine Coast Regional"
"QLD294","QLD294 - Southern Downs Regional","Southern Downs","Southern Downs Regional"
"QLD293","QLD293 - South Burnett Regional","South Burnett","South Burnett Regional"
"QLD289","QLD289 - Rockhampton Regional","Rockhampton","Rockhampton Regional"
"QLD288","QLD288 - Redland City","Redland","Redland City"
"QLD287","QLD287 - Northern Peninsula Area Regional","Northern Peninsula Area","Northern Peninsula Area Regional"
"QLD286","QLD286 - North Burnett Regional","North Burnett","North Burnett Regional"
"QLD281","QLD281 - Isaac Regional","Isaac","Isaac Regional"
"QLD280","QLD280 - Gympie Regional","Gympie","Gympie Regional"
"QLD285","QLD285 - Moreton Bay Regional","Moreton Bay","Moreton Bay Regional"
"QLD284","QLD284 - Mackay Regional","Mackay","Mackay Regional"
"QLD283","QLD283 - Longreach Regional","Longreach","Longreach Regional"
"QLD282","QLD282 - Lockyer Valley Regional","Lockyer Valley","Lockyer Valley Regional"
"QLD278","QLD278 - Gladstone Regional","Gladstone","Gladstone Regional"
"QLD277","QLD277 - Fraser Coast Regional","Fraser Coast","Fraser Coast Regional"
"QLD275","QLD275 - Charters Towers Regional","Charters Towers","Charters Towers Regional"
"QLD279","QLD279 - Goondiwindi Regional","Goondiwindi","Goondiwindi Regional"
"QLD270","QLD270 - Blackall Tambo Regional","Blackall Tambo","Blackall Tambo Regional"
"QLD274","QLD274 - Central Highlands Regional","Central Highlands","Central Highlands Regional"
"QLD273","QLD273 - Cassowary Coast Regional","Cassowary Coast","Cassowary Coast Regional"
"QLD272","QLD272 - Cairns Regional","Cairns","Cairns Regional"
"QLD271","QLD271 - Bundaberg Regional","Bundaberg","Bundaberg Regional"
"QLD269","QLD269 - Barcaldine Regional","Barcaldine","Barcaldine Regional"
"QLD152","QLD152 - Winton Shire","Winton","Winton Shire"
"QLD150","QLD150 - Weipa Town","Weipa","Weipa Town"
"QLD97","QLD97 - Mckinlay Shire","Mckinlay","Mckinlay Shire"
"QLD89","QLD89 - Logan City","Logan","Logan City"
"QLD142","QLD142 - Townsville City","Townsville","Townsville City"
"QLD141","QLD141 - Torres Shire","Torres","Torres Shire"
"QLD123","QLD123 - Quilpie Shire","Quilpie","Quilpie Shire"
"QLD126","QLD126 - Richmond Shire","Richmond","Richmond Shire"
